node,lon,lat,depth
6222,-91.816161,30.943519,-11.639688
8192,-91.010448,30.123478,-5.997775
8399,-91.699340,30.957403,-11.755522
12555,-91.831161,30.797739,-8.567946
22230,-91.738458,30.610766,-7.150759
30502,-90.684350,30.052297,-2.877026
49846,-91.530360,30.373624,-2.583419
52981,-91.533991,30.244705,-4.304550
59795,-90.433823,30.006238,-1.057470
68149,-87.910629,31.443635,-5.051910
70403,-90.384079,30.098309,2.689904
74376,-95.170573,29.889086,-14.727100
83284,-91.432015,29.974929,0.119907
92538,-94.781864,30.096663,-5.994420
116150,-89.702522,30.440992,-5.245408
117244,-87.973349,30.918313,-3.887060
117466,-90.632239,29.834019,-0.238544
122214,-90.443808,29.948869,-0.294053
142941,-89.702946,30.346158,-2.917406
150154,-94.704892,29.782498,-0.926304
161892,-96.643690,28.581880,-0.411787
175216,-89.272841,30.404203,-21.510290
179240,-96.780521,28.475019,-0.740751
196964,-89.738024,30.168290,5.213180
220036,-96.517236,28.566529,2.886950
225896,-97.424025,26.320865,-2.175800
233993,-97.386240,27.695482,-7.092510
237353,-95.027780,29.386961,-4.456340
247019,-96.458362,28.558482,3.416030
259332,-97.170519,27.965732,-1.890340
259917,-96.421160,28.564750,3.700950
272631,-97.095836,28.023846,-4.360630
302075,-97.405016,26.614278,0.641194
313910,-82.960769,29.636033,-2.836030
325927,-90.311408,29.639134,-0.339225
335811,-95.919796,28.723826,-1.006080
369944,-83.021003,29.587688,-7.446590
381971,-97.301711,26.500138,0.641992
408102,-96.139886,28.567282,2.543980
432772,-82.691131,29.185417,-2.798370
442009,-82.608307,28.986922,-7.900740
444614,-97.245178,27.501113,9.392610
444617,-97.265529,27.447807,11.046200
447624,-86.010599,30.428450,-7.452210
465456,-85.546951,30.107862,5.847870
472064,-95.605367,28.771425,3.217220
493089,-92.266267,29.694555,-0.690523
508797,-84.684841,29.818694,3.822900
527784,-88.539471,30.280055,4.525220
529518,-85.203442,29.725100,-2.844650
529667,-84.949557,29.676086,2.912470
531131,-95.675120,28.643418,14.244718
550824,-92.039781,29.556512,2.426425
567482,-96.478653,20.087805,80.445000
577374,-94.622649,28.932300,19.585236
595135,-82.603396,27.560628,-0.234515
597306,-82.137464,26.854873,3.832050
627518,-81.473561,26.460294,-9.855900
635296,-81.806946,26.432055,-4.310290
640913,-82.724445,27.565839,5.553130
641732,-82.025911,26.530309,-0.067637
651258,-82.063211,26.506203,2.620430
657771,-81.359056,26.068675,-3.068770
659608,-81.227931,32.558147,-8.497890
660717,-81.348368,26.012851,-2.465490
664779,-82.235682,26.702768,2.777470
676929,-81.064916,25.287344,1.734160
681551,-73.366509,40.908722,3.337620
686225,-80.973443,25.532369,-0.337938
689034,-86.278674,27.105375,3188.962000
